Name,Comment,Title
ducquang nguyen,"Tôi nhớ Trung quốc bị lụt lội ở một thành phố,bị mất điện. Cư dân không thể dùng tiền tài khoản vì mất điện. Nguy cơ đói diện rông,chính phủ phải cứu trợ toàn bộ. Không dùng tiền mặt hoàn toàn ,không đúng đâu. Ví dụ bạn ở thành phố lạ,thẻ thì mất,smartphone hỏng,hết tiền thì làm thế nào,nếu không có tiền mặt dắt túi. Ai mà biết ngày mai chuyện gì xẩy ra.",Tiền mặt vẫn là vua? 
thanhtranbd01,"Hầu hết công nhân lãnh lương qua thẻ, nhưng rồi vẫn sử dụng tiền mặt - vì sao? do đâu? Đó là thiếu lòng tin. Các doanh nghiệp kiếm lợi từ khách hàng, nhưng luôn đẩy rủi ro về phía khách hàng, tiềm lực tài chính lớn, đội ngủ luật sư và tư vấn pháp luật đông đảo, khiến việc thưa kiện nếu có thì chẳng khác nào con kiến đi kiện củ khoai, châu chấu đá xe.",Tiền mặt vẫn là vua? 
Đoàn Tiến,"Cứ mơ đi !.ra chợ mua con cá,người bán mặc quần áo bảo hộ làm cá,tay toàn vảy và máu cá,thò vào túi móc điện thoại bọc trong túi chống nước ra để xem ting ting...chắc cả ngày bán được đúng 1 khúc cá !.",Tiền mặt vẫn là vua? 
Nguyễn Phúc Hội,"Trong chừng mực giao dịch nào đó thì tiền mặt vẫn số một thôi. Phà, xe ôm, đỗ xăng, vé số, mớ ra cải, nhúm cá,...là những thứ thiết dụng nhưng không chơi được với thẻ. Dù tiện ích thế nào vẫn phải tùy vào hiện tình, thực tế ở từng nơi, chốn. Không thể khác!",Tiền mặt vẫn là vua? 
mmtuan.lsn,"ATM đa phần là để rút tiền, thế mà đang nói vấn đền hạn chế dùng tiền mặt thì thống kê chỉ số này để làm gì nhỉ. Từ sau đại dịch việc thanh toán không dùng tiền mặt đã phổ biến hơn trước rất nhiều rồi, Khi nào người ta thấy thanh thanh toán không dùng tiền mặt tiện lợi hơn thì tự khắc họ khác thay đổi thôi",Tiền mặt vẫn là vua? 
Minh Phương Nguyễn,"Khi vẫn còn chợ truyền thống, còn các quán cóc lề đường vỉa hè, còn cô gánh xôi, dì bán chè, hủ tiếu gõ, trứng vịt lộn,... thì vẫn dùng tiền mặt.",Tiền mặt vẫn là vua? 
Dương Long,"kết hợp dùng cả hai là tốt nhấtdùng tiền mặt cũng có cái hay của nó. ví dụ mua món đồ 10 triệu thanh toán qua bank hoặc qr code vèo cái xong, nhưng đếm 10 triệu thấy to to, cân nhắc xem món đồ đó có đáng mua hay không, nhiều khi lại tiết kiệm được kha khá :D",Tiền mặt vẫn là vua? 
anhtopbakutri,"Tôi lại thích cảm giác cầm tiền mặt mua hàng thanh toán, ngoại trừ những món tiền lớn. Chỉ đơn giản là vì thích.",Tiền mặt vẫn là vua? 
Nguyên Thuỷ Thiên Tôn,"Tôi kinh doanh photocopy có những lúc sáng sớm vừa mở cửa đã có giao dịch ""triệu USD"" photo 1 tờ 1k cũng chuyển khoản (cho luôn cho xong) mà toàn rơi vào giới trẻ, chẳng thể hiểu nổi giới trẻ nghĩ gì 1k cũng ck, 2k cũng ck ..... Hai hình thức song song thì có lẽ sẽ tốt hơn.",Tiền mặt vẫn là vua? 
Bình Luận,"tôi ít dùng tiền số và cũng chẳng thấy nó thuận tiện ở đâu trong các giao dịch hàng ngày với số tiền nhỏ dưới 1tr đồng . mệt nhất là đi ăn hay đi bơm xăng đứng sau mấy ông bà chuyển khoản, vài chục nghìn cũng không có nổi tiền mặt trong người, đứng loay hoay mãi mới xong, mà cũng chẳng thèm đứng dẹp ra cho người khác mua bán cơ",Tiền mặt vẫn là vua? 
Vinh Nguyen Gillespie,"Mình sống ở Mỹ. Phần lớn đều quẹt thẻ, nhưng nếu đi ra các mall lớn thì nếu trả bằng tiền mặt sẽ deal được giá tốt hơn. Ngay cả các chợ Châu Á hoặc khu vực Orange county(Phúc Lộc Thọ), nhiều cửa hàng vẫn cash only. Lý do là gì thì ai cũng biết.",Tiền mặt vẫn là vua? 
ttblqtvbt,"dùng thẻ,thanh toán mọi thừ bằng thẻ ở Vn hiện tại có an toàn khg?lừa gạt,cướp bóc tiền thẻ xẩy ra mọi cách,đủ kiểu.hệ thống ngân hàng vẫn chưa có biện pháp bảo vệ an toàn cho an ninh thẻ thì dùng tiền mặt vẫn hơn.khỏi lo bị cướp mất trắng.tiền mặt có lỡ mất cũng là số ít.",Tiền mặt vẫn là vua? 
