Title,Time,Description,Link
"Thủ tướng: Chấm dứt tình trạng sợ trách nhiệm, không dám làm ","Thứ tư, 19/4/2023, 15:43 (GMT+7)","Thủ tướng Phạm Minh Chính yêu cầu cán bộ công chức chấm dứt tình trạng sợ trách nhiệm, không dám làm, không dám tham mưu, đề xuất.",https://vnexpress.net/thu-tuong-cham-dut-tinh-trang-so-trach-nhiem-khong-dam-lam-4595313.html
Tiền mặt vẫn là vua? ,"Thứ tư, 19/4/2023, 00:00 (GMT+7)","Phó giáo sư, IPAG Business School Paris",https://vnexpress.net/tien-mat-van-la-vua-4595162.html
Bắt đầu thí điểm cấp giấy khai sinh điện tử ,"Thứ tư, 19/4/2023, 14:22 (GMT+7)","Bộ Tư pháp đang thí điểm cấp giấy khai sinh, trích lục khai tử điện tử tại Hà Nội và Hà Nam từ 17/4; đến tháng 6 sẽ triển khai cả nước.",https://vnexpress.net/bat-dau-thi-diem-cap-giay-khai-sinh-dien-tu-4595443.html
Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ ,"Thứ tư, 19/4/2023, 12:47 (GMT+7)","Những bất cập trong hồ sơ khảo sát thiết kế, chất lượng đá, quy trình thi công và bảo dưỡng là những lý do khiến một số vỉa hè lát đá tự nhiên hư hại.",https://vnexpress.net/ha-noi-neu-bon-nguyen-nhan-da-via-he-nut-vo-4595284.html
Nga tố Ukraine đánh sập 4 chung cư khi rút khỏi ngoại ô Bakhmut ,"Thứ tư, 19/4/2023, 17:07 (GMT+7)","Giới chức Nga ở Donetsk cáo buộc lực lượng Ukraine cho nổ tung 4 tòa chung cư khi rút khỏi làng ngoại ô Bakhmut, khiến một số dân thường thiệt mạng.",https://vnexpress.net/nga-to-ukraine-danh-sap-4-chung-cu-khi-rut-khoi-ngoai-o-bakhmut-4595516.html
Đường vành đai qua Long An thông xe 12 km dịp 30/4 ,"Thứ tư, 19/4/2023, 16:25 (GMT+7)",Gần 12 trong tổng 23 km đường vành đai qua TP Tân An sẽ được thông xe trước để giảm áp lực giao thông qua địa bàn dịp lễ 30/4.,https://vnexpress.net/duong-vanh-dai-qua-long-an-thong-xe-12-km-dip-30-4-4595503.html
Thông điệp răn đe hạt nhân của Nga trước sức ép từ phương Tây ,"Thứ tư, 19/4/2023, 11:22 (GMT+7)","Nga đưa vũ khí hạt nhân đến Belarus như biện pháp răn đe khi phương Tây tăng áp lực với Moskva, nhưng sẽ không muốn châm ngòi xung đột hạt nhân, theo các chuyên gia.",https://vnexpress.net/thong-diep-ran-de-hat-nhan-cua-nga-truoc-suc-ep-tu-phuong-tay-4593337.html
54 người trong vụ 'chuyến bay giải cứu' bị truy tố ,"Thứ tư, 19/4/2023, 09:20 (GMT+7)","Cựu Thứ trưởng Ngoại giao Tô Anh Dũng cùng nhiều quan chức và chủ doanh nghiệp liên quan đại án ""chuyến bay giải cứu"" bị VKSND Tối cao truy tố để xét xử tại TAND Hà Nội.",https://vnexpress.net/54-nguoi-trong-vu-chuyen-bay-giai-cuu-sap-bi-xet-xu-4595245.html
Cưỡng chế các điểm du lịch trái phép ở hồ Trị An ,"Thứ tư, 19/4/2023, 14:44 (GMT+7)",Đồng NaiChính quyền địa phương tổ chức cưỡng chế các công trình xây trái phép ở Hồ Trị An sau khi các cơ sở du lịch sinh thái không tự tháo dỡ.,https://vnexpress.net/cuong-che-cac-diem-du-lich-trai-phep-o-ho-tri-an-4595441.html
Quảng Ninh dẫn đầu về cải cách hành chính năm 2022 ,"Thứ tư, 19/4/2023, 14:02 (GMT+7)",Quảng Ninh đứng đầu cả nước về chỉ số cải cách hành chính và sự hài lòng của người dân với sự phục vụ của cơ quan nhà nước năm 2022.,https://vnexpress.net/quang-ninh-dan-dau-ve-cai-cach-hanh-chinh-nam-2022-4595364.html
